,countryName,numCases,numDeaths,numRecovered,numDoctors,numHospitalBeds,travelAdv
104,Thailand,2989,55,2761,0.81,2.1,"Effective 26 March 2020, passengers are not allowed to enter Thailand except airline crew with pre-existing schedules, diplomats and their family members, passengers with a work permit and passengers with a waiver from PM or PIC of State of Emergency."
105,Trinidad and Tobago,116,8,103,2.67,3.0,"On 16 March, Trinidad and Tobago announced that it closed its borders to all except Trinidad and Tobago nationals and certain medical personnel, by midnight on 17 March. Airports in Trinidad and Tobago are closed until 30 April 2020."
106,Tunisia,1025,43,591,1.27,2.3,All flights to Tunisia are suspended until 19 April 2020.
107,Turkey,131744,3584,78202,1.76,2.7,"Effective 28 March, Turkey is suspending all international flights to and from Turkey, amid COVID-19 outbreak. Turkey also closed its borders with all its neighbours."
108,US,1228603,73431,189910,2.59,2.9,"On 31 January 2020, the United States declared the virus a public health emergency. Starting 2 February, all inbound passengers who have been to Hubei in the previous 14 days will be put under quarantine for up to 14 days. American citizens who have travelled to the rest of mainland China will be allowed to continue their travel home if they are asymptomatic, but will be monitored by local health departments. As of 2 March, foreign nationals who have travelled to Iran within the past 14 days are denied permission to enter the US. American citizens and permanent residents returning to the United States who have travelled to Iran within the previous 14 days must enter through an approved airport. Suspended incoming travel from the Schengen area in Europe, beginning at 23:59 ET on 13 March. The official proclamation states that this restriction applies only to foreign nationals traveling to the United States, if they have been to a country within the Schengen area in the past 14 days. The ban does not apply to for example legal permanent residents and most immediate family members of U.S. citizens. Also, cargo and trading goods are not affected. On 14 March, Trump administration extended the ban to include United Kingdom and Ireland. The restrictions will reportedly be in place for 30 days, however the official proclamation does not contain that time limit, stating; ""This proclamation shall remain in effect until terminated by the President."" The move was criticised by EU leaders."
109,Ukraine,13184,327,2097,3.01,8.8,"Starting 15 March, Ukraine has closed its border for foreigners for two weeks. Returning Ukrainian citizens will be required to submit to health observation procedures. Effective 17 March, Ukraine is suspending all commercial passenger services, including flights, trains and passenger buses, to and from Ukraine for a period of two weeks."
110,United Arab Emirates,15738,157,3359,2.39,1.2,"Effective 19 March 2020, passengers are not allowed to enter United Arab Emirates except family members (including father, mother, son, daughter, wife, husband, grandparents, grandchildren and domestic helpers) of nationals of United Arab Emirates. All visas to foreigners except diplomatic passport holders, with effect from 17 March 2020 have been invalidated. The decision does not apply to those who already have their visas issued prior to the aforementioned date, and visa on arrival is still available for a large number of countries."
111,Uruguay,673,17,486,5.05,2.8,"Borders closed to non-residents, effective 1 April."
112,Venezuela,379,10,176,1.92,0.8,"Effective 10 April 2020, flights to Venezuela are suspended."
113,Vietnam,271,0,232,0.82,2.6,"Effective 22 March 2020, Entry of all foreigners is suspended until further notice. Temporary suspension of entry will also be applied to all overseas Vietnamese and their spouses and children who have been granted with certificate of visa exemption."
