,countryName,numCases,numDeaths,numRecovered,numDoctors,numHospitalBeds,travelAdv
75,New Zealand,1489,21,1332,3.03,2.8,"beginning 15 March 2020, any person entering New Zealand from overseas, including New Zealand citizens, will be required to self-isolate for 14 days following entry, except for those travelling from the Pacific Islands unless they are displaying symptoms. All cruise ships have been banned until 30 June 2020. Beginning 23:59 19 March 2020, New Zealand refused entry to non-citizens or permanent residents (with limited exceptions)."
76,Nigeria,3145,103,534,0.38,0.5,On 26 March 2020 Nigeria ordered the immediate closure of international airports and land borders for a period of four weeks.
77,North Macedonia,1539,88,1057,2.87,4.4,Closed its borders on 17 March.
78,Norway,7996,216,32,4.63,3.9,"Effective 16 March 2020, closed airports temporarily. Foreigners are turned away, and exemptions are made for Norwegians returning from abroad, and for goods."
79,Norway,7996,216,32,4.63,3.9,"beginning 17 March 2020, Norway introduced a quarantine obligation for all who arrive in Norway."
80,Oman,2903,13,888,1.97,1.6,"Suspended tourist visas for all visitors, effective 15 March 2020, for 1 month. Moreover, all cruise ships will be prevented from entering Omani ports for 1 month."
81,Pakistan,24073,564,6464,0.98,0.6,Closed its airports for both arrivals and departures on 21 March 2020 for two weeks. The date was later postponed to 11 April 2020.
82,Panama,7731,218,859,1.57,2.3,"From 11.59 p.m on Monday night (16 March), only Panamanians and foreign residents would be allowed to enter Panama. From 11.59 pm on Sunday 22 March, all international flights will be halted."
83,Paraguay,440,10,142,1.37,1.3,Flights to Paraguay are suspended until 26 April 2020.
84,Peru,54817,1533,17527,1.27,1.6,Peru restricts access to the interior of the country from 12:00 on 17 March.
85,Philippines,10004,658,1506,1.28,1.0,"Visa issuance and visa-free entry for all foreign nationals are temporarily suspended as of 19 March 2020. On 22 March, all foreign visitors are barred from entry, with exceptions for foreign spouses and children of Filipino citizens, diplomatic officials, and workers for international organizations."
86,Poland,14740,733,4655,2.4,6.5,"Effective 15 March – 3 May 2020, entry ban for all foreigners except for those with residential or work permits, and 14 days' quarantine on all people entering."
87,Portugal,26182,1089,2076,3.34,3.4,Closed its border with Spain to non-essential travel such as tourism on 16 March.
88,Qatar,17972,12,2070,0.0,1.2,"On 15 March, Qatar said it would ban inbound flights, except for cargo and transit flights, starting from 18 March. The entry ban does not apply to Qatari citizens. Nationals of Qatar are not allowed to exit the country."
89,Romania,14107,864,5788,2.26,6.3,Effective 22 March 2020 Romania banned foreign citizens from entering the country with the exception of official residents or those who are transiting the country.
90,Russia,165929,1537,21327,4.01,8.2,"Borders closed to foreigners with some exceptions, effective 18 March and until the end of the coronavirus epidemic in the country."
